Energy Hub,Overworld,Jarilo-VI,loc_jarilovi
Frontline,Overworld,Jarilo-VI,loc_jarilovi
Outpost,Overworld,Jarilo-VI,loc_jarilovi
Corridor of Fading Echoes,Overworld,Jarilo-VI,loc_jarilovi
Ancient Battlefield: Frontline,Overworld,Jarilo-VI,loc_jarilovi
Command Center,Overworld,Jarilo-VI,loc_jarilovi
Contaminated Plaza,Overworld,Jarilo-VI,loc_jarilovi
Fortified Zone,Overworld,Jarilo-VI,loc_jarilovi
Everwinter Hill,Overworld,Jarilo-VI,loc_jarilovi
Ancient Battlefield: Snow Plains,Overworld,Jarilo-VI,loc_jarilovi
Deck of Creation,Overworld,Jarilo-VI,loc_jarilovi
Pillars of Creation,Overworld,Jarilo-VI,loc_jarilovi
Pillars of Creation: Construction Site,Overworld,Jarilo-VI,loc_jarilovi
Pillars of Creation: Entrance,Overworld,Jarilo-VI,loc_jarilovi
Administrative District,Administrative District,Jarilo-VI,loc_jarilovi
Administrative District,Administrative District,Jarilo-VI,loc_jarilovi
Central Plaza,Administrative District,Jarilo-VI,loc_jarilovi
Eversummer Florist,Administrative District,Jarilo-VI,loc_jarilovi
History and Culture Museum,Administrative District,Jarilo-VI,loc_jarilovi
Neverwinter Workshop,Administrative District,Jarilo-VI,loc_jarilovi
Qlipoth Fort,Administrative District,Jarilo-VI,loc_jarilovi
Goethe Hotel,Administrative District,Jarilo-VI,loc_jarilovi
Hotel Lobby,Administrative District,Jarilo-VI,loc_jarilovi
Hotel Corridor,Administrative District,Jarilo-VI,loc_jarilovi
Hotel Room,Administrative District,Jarilo-VI,loc_jarilovi
Golden Theater,Administrative District,Jarilo-VI,loc_jarilovi
Outlying Snow Plains,Outlying Snow Plains,Jarilo-VI,loc_jarilovi
Outlying Snow Plains,Outlying Snow Plains,Jarilo-VI,loc_jarilovi
Landing Point,Outlying Snow Plains,Jarilo-VI,loc_jarilovi
Long Slope,Outlying Snow Plains,Jarilo-VI,loc_jarilovi
Backwater Pass,Backwater Pass,Jarilo-VI,loc_jarilovi
Backwater Pass,Backwater Pass,Jarilo-VI,loc_jarilovi
Goethe Mansion,Backwater Pass,Jarilo-VI,loc_jarilovi
Leisure Plaza,Backwater Pass,Jarilo-VI,loc_jarilovi
Transport Hub,Backwater Pass,Jarilo-VI,loc_jarilovi
Silvermane Guard Restricted Zone,Silvermane Guard Restricted Zone,Jarilo-VI,loc_jarilovi
Silvermane Guard Restricted Zone,Silvermane Guard Restricted Zone,Jarilo-VI,loc_jarilovi
Energy Hub,Silvermane Guard Restricted Zone,Jarilo-VI,loc_jarilovi
Frontline,Silvermane Guard Restricted Zone,Jarilo-VI,loc_jarilovi
Outpost,Silvermane Guard Restricted Zone,Jarilo-VI,loc_jarilovi
Corridor of Fading Echoes,Corridor of Fading Echoes,Jarilo-VI,loc_jarilovi
Corridor of Fading Echoes,Corridor of Fading Echoes,Jarilo-VI,loc_jarilovi
Ancient Battlefield: Frontline,Corridor of Fading Echoes,Jarilo-VI,loc_jarilovi
Command Center,Corridor of Fading Echoes,Jarilo-VI,loc_jarilovi
Contaminated Plaza,Corridor of Fading Echoes,Jarilo-VI,loc_jarilovi
Fortified Zone,Corridor of Fading Echoes,Jarilo-VI,loc_jarilovi
Everwinter Hill,Everwinter Hill,Jarilo-VI,loc_jarilovi
Everwinter Hill,Everwinter Hill,Jarilo-VI,loc_jarilovi
Ancient Battlefield: Snow Plains,Everwinter Hill,Jarilo-VI,loc_jarilovi
Deck of Creation,Everwinter Hill,Jarilo-VI,loc_jarilovi
Pillars of Creation,Pillars of Creation,Jarilo-VI,loc_jarilovi
Pillars of Creation,Pillars of Creation,Jarilo-VI,loc_jarilovi
Pillars of Creation: Construction Site,Pillars of Creation,Jarilo-VI,loc_jarilovi
Pillars of Creation: Entrance,Pillars of Creation,Jarilo-VI,loc_jarilovi
Underworld,Underworld,Jarilo-VI,loc_jarilovi
Underworld,Underworld,Jarilo-VI,loc_jarilovi
Old Weapon Testing Ground,Underworld,Jarilo-VI,loc_jarilovi
Aetherium Wars Terminal,Underworld,Jarilo-VI,loc_jarilovi
Victory Celebration Center,Underworld,Jarilo-VI,loc_jarilovi
Boulder Town,Underworld,Jarilo-VI,loc_jarilovi
Fight Club,Underworld,Jarilo-VI,loc_jarilovi
Fight Club,Underworld,Jarilo-VI,loc_jarilovi
Goethe Grand Hotel,Underworld,Jarilo-VI,loc_jarilovi
Cheap Room,Underworld,Jarilo-VI,loc_jarilovi
Natasha's Clinic,Underworld,Jarilo-VI,loc_jarilovi
Natasha's Clinic,Underworld,Jarilo-VI,loc_jarilovi
Great Mine,Underworld,Jarilo-VI,loc_jarilovi
Entrance,Underworld,Jarilo-VI,loc_jarilovi
Main Mine Shaft,Underworld,Jarilo-VI,loc_jarilovi
Overlook,Underworld,Jarilo-VI,loc_jarilovi
Vagrant Shelter,Underworld,Jarilo-VI,loc_jarilovi
Rivet Town,Underworld,Jarilo-VI,loc_jarilovi
Abandoned Market,Underworld,Jarilo-VI,loc_jarilovi
Entrance,Underworld,Jarilo-VI,loc_jarilovi
Orphanage,Underworld,Jarilo-VI,loc_jarilovi
Robot Settlement,Underworld,Jarilo-VI,loc_jarilovi
Energy Conversion Station,Underworld,Jarilo-VI,loc_jarilovi
Svarog's Base,Underworld,Jarilo-VI,loc_jarilovi
Vagrant Camp,Underworld,Jarilo-VI,loc_jarilovi
Old Weapon Testing Ground,Old Weapon Testing Ground,Jarilo-VI,loc_jarilovi
Old Weapon Testing Ground,Old Weapon Testing Ground,Jarilo-VI,loc_jarilovi
Aetherium Wars Terminal,Old Weapon Testing Ground,Jarilo-VI,loc_jarilovi
Victory Celebration Center,Old Weapon Testing Ground,Jarilo-VI,loc_jarilovi
Boulder Town,Boulder Town,Jarilo-VI,loc_jarilovi
Boulder Town,Boulder Town,Jarilo-VI,loc_jarilovi
Fight Club,Boulder Town,Jarilo-VI,loc_jarilovi
Fight Club,Boulder Town,Jarilo-VI,loc_jarilovi
Goethe Grand Hotel,Boulder Town,Jarilo-VI,loc_jarilovi
Cheap Room,Boulder Town,Jarilo-VI,loc_jarilovi
Natasha's Clinic,Boulder Town,Jarilo-VI,loc_jarilovi
Natasha's Clinic,Boulder Town,Jarilo-VI,loc_jarilovi
Great Mine,Great Mine,Jarilo-VI,loc_jarilovi
Great Mine,Great Mine,Jarilo-VI,loc_jarilovi
Entrance,Great Mine,Jarilo-VI,loc_jarilovi
Main Mine Shaft,Great Mine,Jarilo-VI,loc_jarilovi
Overlook,Great Mine,Jarilo-VI,loc_jarilovi
Vagrant Shelter,Great Mine,Jarilo-VI,loc_jarilovi
Rivet Town,Rivet Town,Jarilo-VI,loc_jarilovi
Rivet Town,Rivet Town,Jarilo-VI,loc_jarilovi
Abandoned Market,Rivet Town,Jarilo-VI,loc_jarilovi
Entrance,Rivet Town,Jarilo-VI,loc_jarilovi
Orphanage,Rivet Town,Jarilo-VI,loc_jarilovi
Robot Settlement,Robot Settlement,Jarilo-VI,loc_jarilovi
Robot Settlement,Robot Settlement,Jarilo-VI,loc_jarilovi
Energy Conversion Station,Robot Settlement,Jarilo-VI,loc_jarilovi
Svarog's Base,Robot Settlement,Jarilo-VI,loc_jarilovi
Vagrant Camp,Robot Settlement,Jarilo-VI,loc_jarilovi
Central Starskiff Haven,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Central Starskiff Haven,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Earthrise Agora,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Palace of Astrum,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Starskiff Jetty,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Starwatcher Avenue,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Cloudford,Cloudford,The Xianzhou Luofu,loc_the_xianzhou_luofu
Cloudford,Cloudford,The Xianzhou Luofu,loc_the_xianzhou_luofu
Cloudford: Cargo Lane,Cloudford,The Xianzhou Luofu,loc_the_xianzhou_luofu
Cloudford: Skiff Boarding Area,Cloudford,The Xianzhou Luofu,loc_the_xianzhou_luofu
Trove of Verdure,Cloudford,The Xianzhou Luofu,loc_the_xianzhou_luofu
Trove of Verdure: South Wing,Cloudford,The Xianzhou Luofu,loc_the_xianzhou_luofu
Stargazer Navalia,Stargazer Navalia,The Xianzhou Luofu,loc_the_xianzhou_luofu
Stargazer Navalia,Stargazer Navalia,The Xianzhou Luofu,loc_the_xianzhou_luofu
Astral Cottage,Stargazer Navalia,The Xianzhou Luofu,loc_the_xianzhou_luofu
Ship Nursery - The Budding,Stargazer Navalia,The Xianzhou Luofu,loc_the_xianzhou_luofu
Ship Nursery - The Burgeoning,Stargazer Navalia,The Xianzhou Luofu,loc_the_xianzhou_luofu
The Mooring,Stargazer Navalia,The Xianzhou Luofu,loc_the_xianzhou_luofu
Exalting Sanctum,Exalting Sanctum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Exalting Sanctum,Exalting Sanctum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Court of Tranquility,Exalting Sanctum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Synwood Pavilion,Exalting Sanctum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Realm-Keeping Commission Chancery,Exalting Sanctum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Seat of Divine Foresight,Exalting Sanctum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Aurum Alley,Aurum Alley,The Xianzhou Luofu,loc_the_xianzhou_luofu
Aurum Alley,Aurum Alley,The Xianzhou Luofu,loc_the_xianzhou_luofu
Aurum Alley Night Market,Aurum Alley,The Xianzhou Luofu,loc_the_xianzhou_luofu
Aurum Alley Dock,Aurum Alley,The Xianzhou Luofu,loc_the_xianzhou_luofu
Cosmos Street,Aurum Alley,The Xianzhou Luofu,loc_the_xianzhou_luofu
Divination Commission,Divination Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Divination Commission,Divination Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Conclave Hall,Divination Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Fortuna Augurstead,Divination Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Matrix of Prescience Ultima,Divination Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Spatial Terminal,Divination Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Artisanship Commission,Artisanship Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Artisanship Commission,Artisanship Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Arcane Moorage,Artisanship Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Creation Furnace,Artisanship Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Passage to the Finery Foundry,Artisanship Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Passage to the Sapientia Academe,Artisanship Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Fyxestroll Garden,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Fyxestroll Garden,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Locufox Forest Backdoor,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Meeting Point,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Pavilion of Cessation Corridor,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Swallowsong Pavilion Entrance,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Verdant Terrace Entrance,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Alchemy Commission,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Alchemy Commission,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Aureate Elixir Furnace,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Elixir Research Terrace,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Dragonprayer Terrace,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Healer's Market,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Medicine Bureau,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Scalegorge Waterscape,Scalegorge Waterscape,The Xianzhou Luofu,loc_the_xianzhou_luofu
Scalegorge Waterscape,Scalegorge Waterscape,The Xianzhou Luofu,loc_the_xianzhou_luofu
Ancient Sea Palace Ruins,Scalegorge Waterscape,The Xianzhou Luofu,loc_the_xianzhou_luofu
Dragonvista Rain Hall,Scalegorge Waterscape,The Xianzhou Luofu,loc_the_xianzhou_luofu
Palace Ruin Depths,Scalegorge Waterscape,The Xianzhou Luofu,loc_the_xianzhou_luofu
Reality,Reality,Penacony,loc_penacony
Reality,Reality,Penacony,loc_penacony
The Reverie (Reality),Reality,Penacony,loc_penacony
Hotel Lobby,Reality,Penacony,loc_penacony
VIP Lounge,Reality,Penacony,loc_penacony
The Reverie (Reality),The Reverie (Reality),Penacony,loc_penacony
The Reverie (Reality),The Reverie (Reality),Penacony,loc_penacony
Hotel Lobby,The Reverie (Reality),Penacony,loc_penacony
VIP Lounge,The Reverie (Reality),Penacony,loc_penacony
Dreamscape,Dreamscape,Penacony,loc_penacony
Dreamscape,Dreamscape,Penacony,loc_penacony
Golden Hour,Dreamscape,Penacony,loc_penacony
Aideen Park,Dreamscape,Penacony,loc_penacony
Clockie Plaza,Dreamscape,Penacony,loc_penacony
Dreammerse Shopping Street,Dreamscape,Penacony,loc_penacony
Oti Mall,Dreamscape,Penacony,loc_penacony
Sweet Corner,Dreamscape,Penacony,loc_penacony
The Reverie Hotel Entrance,Dreamscape,Penacony,loc_penacony
Dream's Edge,Dreamscape,Penacony,loc_penacony
Dreamweaver Plaza,Dreamscape,Penacony,loc_penacony
Front Observation Deck,Dreamscape,Penacony,loc_penacony
Rooftop Garden,Dreamscape,Penacony,loc_penacony
The Family's Construction Authority,Dreamscape,Penacony,loc_penacony
A Child's Dream,Dreamscape,Penacony,loc_penacony
Clock Factory,Dreamscape,Penacony,loc_penacony
Corridor of Memories,Dreamscape,Penacony,loc_penacony
Eddying Dreamscape,Dreamscape,Penacony,loc_penacony
The Reverie (Dreamscape),Dreamscape,Penacony,loc_penacony
Dreamjolt Hostelry,Dreamscape,Penacony,loc_penacony
Dreamscape Lobby,Dreamscape,Penacony,loc_penacony
Drink Lounge,Dreamscape,Penacony,loc_penacony
Monitoring Room,Dreamscape,Penacony,loc_penacony
Platinum Guest Room,Dreamscape,Penacony,loc_penacony
VIP Lounge Corridor,Dreamscape,Penacony,loc_penacony
Dewlight Pavilion,Dreamscape,Penacony,loc_penacony
Dreammaster Hall,Dreamscape,Penacony,loc_penacony
Reception Counter,Dreamscape,Penacony,loc_penacony
City Sandpit,Dreamscape,Penacony,loc_penacony
City Sandpit,Dreamscape,Penacony,loc_penacony
Clock Studios Theme Park,Dreamscape,Penacony,loc_penacony
Dreamjoy Memoir Filming Site,Dreamscape,Penacony,loc_penacony
Hamster Ball Park,Dreamscape,Penacony,loc_penacony
Hanu Gang Base,Dreamscape,Penacony,loc_penacony
Screening Area Entrance,Dreamscape,Penacony,loc_penacony
Theme Park Entrance,Dreamscape,Penacony,loc_penacony
Dreamflux Reef,Dreamscape,Penacony,loc_penacony
A Child's Moonlight,Dreamscape,Penacony,loc_penacony
Bygoneville,Dreamscape,Penacony,loc_penacony
Narrow Alley,Dreamscape,Penacony,loc_penacony
Slumbertown,Dreamscape,Penacony,loc_penacony
Timesplit Square,Dreamscape,Penacony,loc_penacony
SoulGlad™ Scorchsand Audition Venue,Dreamscape,Penacony,loc_penacony
Audition Plaza,Dreamscape,Penacony,loc_penacony
Path of the Superstar,Dreamscape,Penacony,loc_penacony
Dreamplay Fantasia: Acting Challenge,Dreamscape,Penacony,loc_penacony
Dreamplay Fantasia: Action Challenge,Dreamscape,Penacony,loc_penacony
Gunfire Time: Gunfire Trial,Dreamscape,Penacony,loc_penacony
Gunfire Time: Time Trial,Dreamscape,Penacony,loc_penacony
Gunfire Time: Time Trial (Posterior),Dreamscape,Penacony,loc_penacony
Superstar Showdown: Arena I,Dreamscape,Penacony,loc_penacony
Superstar Showdown: Arena II,Dreamscape,Penacony,loc_penacony
Penacony Grand Theater,Dreamscape,Penacony,loc_penacony
Ascension Hallway,Dreamscape,Penacony,loc_penacony
Communing Hall,Dreamscape,Penacony,loc_penacony
Hall of Chords,Dreamscape,Penacony,loc_penacony
Saloon of Gospels,Dreamscape,Penacony,loc_penacony
Radiant Feldspar,Dreamscape,Penacony,loc_penacony
Aft Pool,Dreamscape,Penacony,loc_penacony
Cockpit,Dreamscape,Penacony,loc_penacony
Divergent Universe: Terminal Interface,Dreamscape,Penacony,loc_penacony
Main Banquet Hall,Dreamscape,Penacony,loc_penacony
Midship Lounge,Dreamscape,Penacony,loc_penacony
Origami Bird Battle Lobby,Dreamscape,Penacony,loc_penacony
Golden Hour,Golden Hour,Penacony,loc_penacony
Golden Hour,Golden Hour,Penacony,loc_penacony
Aideen Park,Golden Hour,Penacony,loc_penacony
Clockie Plaza,Golden Hour,Penacony,loc_penacony
Dreammerse Shopping Street,Golden Hour,Penacony,loc_penacony
Oti Mall,Golden Hour,Penacony,loc_penacony
Sweet Corner,Golden Hour,Penacony,loc_penacony
The Reverie Hotel Entrance,Golden Hour,Penacony,loc_penacony
Dream's Edge,Dream's Edge,Penacony,loc_penacony
Dream's Edge,Dream's Edge,Penacony,loc_penacony
Dreamweaver Plaza,Dream's Edge,Penacony,loc_penacony
Front Observation Deck,Dream's Edge,Penacony,loc_penacony
Rooftop Garden,Dream's Edge,Penacony,loc_penacony
The Family's Construction Authority,Dream's Edge,Penacony,loc_penacony
A Child's Dream,A Child's Dream,Penacony,loc_penacony
A Child's Dream,A Child's Dream,Penacony,loc_penacony
Clock Factory,A Child's Dream,Penacony,loc_penacony
Corridor of Memories,A Child's Dream,Penacony,loc_penacony
Eddying Dreamscape,A Child's Dream,Penacony,loc_penacony
The Reverie (Dreamscape),The Reverie (Dreamscape),Penacony,loc_penacony
The Reverie (Dreamscape),The Reverie (Dreamscape),Penacony,loc_penacony
Dreamjolt Hostelry,The Reverie (Dreamscape),Penacony,loc_penacony
Dreamscape Lobby,The Reverie (Dreamscape),Penacony,loc_penacony
Drink Lounge,The Reverie (Dreamscape),Penacony,loc_penacony
Monitoring Room,The Reverie (Dreamscape),Penacony,loc_penacony
Platinum Guest Room,The Reverie (Dreamscape),Penacony,loc_penacony
VIP Lounge Corridor,The Reverie (Dreamscape),Penacony,loc_penacony
Dewlight Pavilion,Dewlight Pavilion,Penacony,loc_penacony
Dewlight Pavilion,Dewlight Pavilion,Penacony,loc_penacony
Dreammaster Hall,Dewlight Pavilion,Penacony,loc_penacony
Reception Counter,Dewlight Pavilion,Penacony,loc_OpenACC
City Sandpit,Dewlight Pavilion,Penacony,loc_penacony
City Sandpit,Dewlight Pavilion,Penacony,loc_penacony
City Sandpit,City Sandpit,Penacony,loc_penacony
City Sandpit,City Sandpit,Penacony,loc_penacony
City Sandpit,City Sandpit,Penacony,loc_penacony
Clock Studios Theme Park,Clock Studios Theme Park,Penacony,loc_penacony
Clock Studios Theme Park,Clock Studios Theme Park,Penacony,loc_penacony
Dreamjoy Memoir Filming Site,Clock Studios Theme Park,Penacony,loc_penacony
Hamster Ball Park,Clock Studios Theme Park,Penacony,loc_penacony
Hanu Gang Base,Clock Studios Theme Park,Penacony,loc_penacony
Screening Area Entrance,Clock Studios Theme Park,Penacony,loc_penacony
Theme Park Entrance,Clock Studios Theme Park,Penacony,loc_penacony
Dreamflux Reef,Dreamflux Reef,Penacony,loc_penacony
Dreamflux Reef,Dreamflux Reef,Penacony,loc_penacony
A Child's Moonlight,Dreamflux Reef,Penacony,loc_penacony
Bygoneville,Dreamflux Reef,Penacony,loc_penacony
Narrow Alley,Dreamflux Reef,Penacony,loc_penacony
Slumbertown,Dreamflux Reef,Penacony,loc_penacony
Timesplit Square,Dreamflux Reef,Penacony,loc_penacony
SoulGlad™ Scorchsand Audition Venue,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
SoulGlad™ Scorchsand Audition Venue,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Audition Plaza,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Path of the Superstar,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Dreamplay Fantasia: Acting Challenge,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Dreamplay Fantasia: Action Challenge,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Gunfire Time: Gunfire Trial,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Gunfire Time: Time Trial,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Gunfire Time: Time Trial (Posterior),SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Superstar Showdown: Arena I,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Superstar Showdown: Arena II,SoulGlad™ Scorchsand Audition Venue,Penacony,loc_penacony
Dreamplay Fantasia: Acting Challenge,Dreamplay Fantasia: Acting Challenge,Penacony,loc_penacony
Dreamplay Fantasia: Acting Challenge,Dreamplay Fantasia: Acting Challenge,Penacony,loc_penacony
Dreamplay Fantasia: Action Challenge,Dreamplay Fantasia: Action Challenge,Penacony,loc_penacony
Dreamplay Fantasia: Action Challenge,Dreamplay Fantasia: Action Challenge,Penacony,loc_penacony
Gunfire Time: Gunfire Trial,Gunfire Time: Gunfire Trial,Penacony,loc_penacony
Gunfire Time: Gunfire Trial,Gunfire Time: Gunfire Trial,Penacony,loc_penacony
Gunfire Time: Time Trial,Gunfire Time: Time Trial,Penacony,loc_penacony
Gunfire Time: Time Trial,Gunfire Time: Time Trial,Penacony,loc_penacony
Gunfire Time: Time Trial (Posterior),Gunfire Time: Time Trial,Penacony,loc_penacony
Superstar Showdown: Arena I,Superstar Showdown: Arena I,Penacony,loc_penacony
Superstar Showdown: Arena I,Superstar Showdown: Arena I,Penacony,loc_penacony
Superstar Showdown: Arena II,Superstar Showdown: Arena II,Penacony,loc_penacony
Superstar Showdown: Arena II,Superstar Showdown: Arena II,Penacony,loc_penacony
Penacony Grand Theater,Penacony Grand Theater,Penacony,loc_penacony
Penacony Grand Theater,Penacony Grand Theater,Penacony,loc_penacony
Ascension Hallway,Penacony Grand Theater,Penacony,loc_penacony
Communing Hall,Penacony Grand Theater,Penacony,loc_penacony
Hall of Chords,Penacony Grand Theater,Penacony,loc_penacony
Saloon of Gospels,Penacony Grand Theater,Penacony,loc_penacony
Radiant Feldspar,Radiant Feldspar,Penacony,loc_penacony
Radiant Feldspar,Radiant Feldspar,Penacony,loc_penacony
Aft Pool,Radiant Feldspar,Penacony,loc_penacony
Cockpit,Radiant Feldspar,Penacony,loc_penacony
Divergent Universe: Terminal Interface,Radiant Feldspar,Penacony,loc_penacony
Main Banquet Hall,Radiant Feldspar,Penacony,loc_penacony
Midship Lounge,Radiant Feldspar,Penacony,loc_penacony
Origami Bird Battle Lobby,Radiant Feldspar,Penacony,loc_penacony
Domain - Combat,Domain - Combat,Simulated universe,loc_su
Domain - Elite,Domain - Elite,Simulated universe,loc_su
Domain - Respite,Domain - Respite,Simulated universe,loc_su
Domain - Occurrence,Domain - Occurrence,Simulated universe,loc_su
Domain - Encounter,Domain - Encounter,Simulated universe,loc_su
Domain - Boss,Domain - Boss,Simulated universe,loc_su
Domain - Transaction,Domain - Transaction,Simulated universe,loc_su
